9.0507271457751892e-02,9.7255986285711277e-02,9.5824947429594154e-01
6.3018805172107908e-02,9.7255986285711277e-02,9.5703963420656535e-01
4.8017150705757169e-02,8.6452740495625360e-02,7.6816484331412760e-01
4.8017150705757169e-02,7.2636623704192674e-02,7.7861189021119470e-01
4.8017150705757169e-02,6.8154341694003487e-02,9.9420250280054501e-01
7.2262406245563404e-02,6.7275801637279031e-02,9.9420250280054501e-01
4.0446321033023085e-02,2.9063735134528260e-02,9.9420250280054501e-01
4.0446321033023085e-02,6.4418359010169596e-02,9.9420250280054501e-01
3.9000799015254814e-02,6.4418359010169596e-02,2.8574121667785155e+00
4.2345185594865248e-02,3.1443441945571728e-02,2.8574121667785155e+00
